image,title,address_street,address_locality,address_region,address_postal,address_country,type1,type2,number_of_rooms,price,price_usd,price_currency,url,size,size_unit,size_sqft,bed,bath,remark
https://ssl.cdn-redfin.com/photo/115/islphoto/582/genIslnoResize.22309582_0.jpg,"52 Calle Solares, Tubac, AZ 85646",,,,,,,,,"$488,443",,,https://www.redfin.com/AZ/Tubac/52-Calle-Solares-85646/home/122327609,0.0,acre (lot),"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the Anza course Hole #2  of the renowned Tubac Golf Resort. Situated on approximately 1/4 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms and 2 bathrooms and a den, this Verbena-Hacienda floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD APR 20, 2023$488,443 Last Sold Price 2 beds2 baths1,800 sq ft0.28 acre (lot)52 Calle Solares, Tubac, AZ 8564652 Calle Solares, Tubac, AZ 85646"
,"27 Kimball Dr, Patagonia, AZ 85624",,,,,,,,,"$175,000",,,https://www.redfin.com/AZ/Patagonia/27-Kimball-Dr-85624/home/122207314,4.0,acres (lot),"1,280",3.0,3.0,"Santa Cruz County, AZ Home for SaleA real fixer-upper in a beautiful area!  Off Flux Canyon Road on a steep winding road, this home with an investment could be an amazing weekend, seasonal or full time home. Right now, the home is in major need of repair and is being sold ''As-Is''. The main part of the home is  2 bedroom/2bath with a great room with large windows to enjoy the high mountain views. Their is a separate guest quarters downstairs with 1 bedroom and bath, Enjoy the gorgeous views, privacy, clean air and dark starry nights.Santa Cruz County, AZ Home for SaleA real fixer-upper in a beautiful area!  Off Flux Canyon Road on a steep winding road, this home with an investment could be an amazing weekend, seasonal or full time home. Right now, the home is in major need of repair and is being sold ''As-Is''. The main part of the home is  2 bedroom/2bath with a great room with large windows to enjoy the high mountain views. Their is a separate guest quarters downstairs with 1 bedroom and bath, Enjoy the gorgeous views, privacy, clean air and dark starry nights.1 / 2SOLD OCT 27, 2023$175,000 Last Sold Price 3 beds3 baths1,280 sq ft4.17 acres (lot)27 Kimball Dr, Patagonia, AZ 8562427 Kimball Dr, Patagonia, AZ 85624"
https://ssl.cdn-redfin.com/photo/115/islphoto/650/genIslnoResize.22322650_0.jpg,"410 Post Way, Tubac, AZ 85646",,,,,,,,,"$271,532",,,https://www.redfin.com/AZ/Tubac/410-Post-Way-85646/home/122035957,,,"1,008",,2.0,"Santa Cruz County, AZ Home for SaleBeautifully maintained east facing 1 bedroom townhome with a den and two bathrooms located in the Embarcadero Subdivision of the Barrio de Tubac. This home is close to the pool and workout facilities and only a short distance to the historic and artisan community of Tubac with its many shops, galleries and restaurants! With a sky deck you can enjoy both sunsets and sunrises and it is equipped with a gas barbecue and a sink. In addition, there is a bee hive fireplace in the living room to enjoy on those cool mornings and evening. Start your Tubac adventure with this beautiful home!1 / 38SOLD OCT 11, 2023$271,532 Last Sold Price 1 bed2 baths1,008 sq ft1,307 sq ft (lot)410 Post Way, Tubac, AZ 85646410 Post Way, Tubac, AZ 85646"
,"24 Nichols Ct, Tubac, AZ 85646",,,,,,,,,"$751,838",,,https://www.redfin.com/AZ/Tubac/24-Nichols-Ct-85646/home/122300729,0.0,acre (lot),"2,346",3.0,2.0,"Santa Cruz County, AZ Home for SaleA stunning new home constructed by Dorn Homes. This La Paloma floor plan features 2346 square feet of living space and has 3 bedrooms 3 baths and a three car garage as well as a separate den. Situated on approximately 1/2 acre with views of the Santa Rita Mountains this home has the added feature of being located on a quiet cul de sac street. Home is currently under construction1 / 3SOLD AUG 31, 2023$751,838 Last Sold Price 3 beds2.5 baths2,346 sq ft0.55 acre (lot)24 Nichols Ct, Tubac, AZ 8564624 Nichols Ct, Tubac, AZ 85646"
,"44 Calle Solares, Tubac, AZ 85646",,,,,,,,,"$533,225",,,https://www.redfin.com/AZ/Tubac/44-Calle-Solares-85646/home/122272688,0.0,acre (lot),"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the Anza course Hole #2  of the renowned Tubac Golf Resort. Situated on approximately 1/4 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms and 2 bathrooms and a den, this Verbena-Hacienda floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD FEB 6, 2023$533,225 Last Sold Price 2 beds2 baths1,800 sq ft0.28 acre (lot)44 Calle Solares, Tubac, AZ 8564644 Calle Solares, Tubac, AZ 85646"
,"49 Burruel St, Tubac, AZ 85646",,,,,,,,,"$618,046",,,https://www.redfin.com/AZ/Tubac/49-Burruel-St-85646/home/122300726,,,"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the renowned Tubac Golf Resort. Situated on approximately 1/2 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms, 2 bathrooms and a den, this Verbena-Ranch floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD DEC 23, 2022$618,046 Last Sold Price 2 beds2 baths1,800 sq ft9,230 sq ft (lot)49 Burruel St, Tubac, AZ 8564649 Burruel St, Tubac, AZ 85646"
,"45 Burruel St, Tubac, AZ 85646",,,,,,,,,"$551,204",,,https://www.redfin.com/AZ/Tubac/45-Burruel-St-85646/home/122360007,,,"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the renowned Tubac Golf Resort. Situated on approximately 1/2 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms, 2 bathrooms and a den, this Verbena-Ranch floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD MAY 24, 2023$551,204 Last Sold Price 2 beds2 baths1,800 sq ft9,230 sq ft (lot)45 Burruel St, Tubac, AZ 8564645 Burruel St, Tubac, AZ 85646"
,"623 W Crawford St, Nogales, AZ 85621",,,,,,,,,"$229,700",,,https://www.redfin.com/AZ/Nogales/623-W-Crawford-St-85621/home/122329123,0.0,acre (lot),"3,412",4.0,4.0,"Santa Cruz County, AZ Home for SaleGreat opportunity to upgrade and remodel to your liking. Spacious home with plenty of room for the whole family. Large living room with a fireplace, a two car carport and a large backyard with pool and spa. Repairs and upgrades are needed.1 / 16SOLD JUL 17, 2023$229,700 Last Sold Price 4 beds4 baths3,412 sq ft0.44 acre (lot)623 W Crawford St, Nogales, AZ 85621623 W Crawford St, Nogales, AZ 85621"
https://ssl.cdn-redfin.com/photo/115/islphoto/748/genIslnoResize.22204748_0.jpg,"35 Dudley Ct, Sonoita, AZ 85637",,,,,,,,,"$825,000",,,https://www.redfin.com/AZ/Sonoita/35-Dudley-Ct-85637/home/122361146,8.0,acres (lot),"2,884",4.0,3.0,"Santa Cruz County, AZ Home for SaleRARE FIND! Beautiful very private park like setting on 8+/- acres. 360 degree unobstructed views of numerous mountain ranges w/ sunrises/sunsets. A very nice 2 BD 2 BA home nestled up to the National Forest w/ direct access. All trees trimmed to Sonoita Fire dept for a buffer zone. Perimeter fenced w/ no climb horse fencing. House being sold completely furnished. Kitchen has stainless steel appliances w/ large oversized sink. Dining area with sitting area around gas fireplace. Pantry w/ freezer. Laundry with 1/2 bath, oversized sink, storage closet and utility area. Large Master with new 2 sink vanity w/ granite counter tops. Guest BD w/ large walk in shower  &  closet. Spacious LR w/ f1 / 51SOLD MAY 3, 2023$825,000 Last Sold Price 4 beds3.5 baths2,884 sq ft8.44 acres (lot)35 Dudley Ct, Sonoita, AZ 8563735 Dudley Ct, Sonoita, AZ 85637"
,"48 Calle Solares, Tubac, AZ 85646",,,,,,,,,"$578,470",,,https://www.redfin.com/AZ/Tubac/48-Calle-Solares-85646/home/122267675,0.0,acre (lot),"1,800",2.0,2.0,"Santa Cruz County, AZ Home for SaleThis beautiful new Home is built by Dorn Homes and is located on the Anza course Hole #2  of the renowned Tubac Golf Resort. Situated on approximately 1/4 acre so you have lots of room and privacy. With 1800 square feet of living space and a three car garage with two bedrooms and 2 bathrooms and a den, this Verbena-Hacienda floor plan has all you need to enjoy the Tubac Lifestyle. Enjoy the stunning views of the Santa Rita Mountain range. Home is currently under construction.1 / 3SOLD APR 3, 2023$578,470 Last Sold Price 2 beds2 baths1,800 sq ft0.28 acre (lot)48 Calle Solares, Tubac, AZ 8564648 Calle Solares, Tubac, AZ 85646"
